sequencing_platform	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq
DNA_extraction_kit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0.16013	3.05089	0	0.02761	0	0.00707	0	0.16472	0.24208	0.20367	0.23575	0	0	0.00783	0.21692	0.08066	0.82868	0.08183	0.19308	0	0.03495	0.32741	0.17063	0.44689	1.00974	0.0237	0.00911	0.19026	0	0.09286	0	0.26479	0.02198	0.77409	0.31348	0	0	0.12804	0.99144	0.15998	0.00795	0.66644	0.03787	0.03292	1.38628	0.05265	0.01185	0.24899	8.34033	0.13767	0.00716	0.06506	0.07543	0.21612	0	0.02929	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_CAG_241	0.15702	0.04071	3.06095	0.14106	0.58049	0.11369	0	0.52981	0.54321	0.32174	0.14871	0	0.18594	0.51017	0.96309	0.04258	1.17301	0.09475	0.16052	0.61007	0.33483	0.0425	0.2894	0.79073	0.20672	0.17301	0.00254	0.2777	2.66936	0.16312	5.26349	0.71213	0.02987	0.57395	0.49733	0	0.11388	0.02274	0.18223	0	0.10158	0	0.00166	0.00282	0.46517	0.03488	0	0.03198	0.00592	0.00179	0.05821	0	0	0.11915	0.39835	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis	0.14582	0	0	0	0	0	0	0	0	0	0.32079	0	0	0	0	0	0	0.00224	0.03678	0	0	0.01208	0	0	0	0	0	0	0.0454	0.01053	0.00341	0	0.00907	0	0.10683	0	0	0	0	0	0	0	0	0.19126	0	0.00765	0.25566	0	0	0.02687	0	0	0.05831	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0.13133	0.0105	0	0.03267	0.2196	0.04609	0	0	0.02959	0.04624	0.1337	0.34879	0	0.00938	0.02107	0.00964	0.11856	0.00475	0.00273	0.00535	0.00976	0.01922	0.05	0	0.02067	0.01373	0	0.07488	0.0346	0.01939	0.00322	0	0.02343	0.01923	0.05668	0.01483	0.09074	0.03974	0.02321	0.02828	0.01709	0	0.00786	0.02903	0.14806	0.01164	0.05122	0.01752	0.04898	0.01365	0.03155	0	0	0.03215	0	0.04124	7.31665
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_sp_CAG_700	0.10203	0	0	0	0	0.47299	0	0	0	0	0	0.53543	0	0	0.23546	0	5.33265	0.3258	0.76982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58294	0	0	0	0	0	0	0	0	0.10111	0	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus_sp_oral_taxon_386	0.08928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_253	0.08901	0	0	0.05761	0.01844	0	0	0	0	0.10319	0.04493	0	0	0	0	0	0	0	0.07302	0	0.00885	0.00447	0.04572	0.04472	0.00156	0.02514	0	0.01286	0	0.01766	0	0	0.14264	0.1154	0.05814	0	0	0.08741	0	0	0	0	0	0	0	0	0.01178	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rogosae	0.0779	0	0	0.00559	0.03108	0.02052	0	0	0	0.01365	0	0	0	0	0	0.15936	0.03598	0.00178	0	0	0	0.04845	0	0.022	0.17368	0	0.12728	0.02209	0	0.1891	0	0.03294	0	0.13519	0.01134	0	0	0.03052	0.0263	0.01117	0	0	0.00228	0.02277	0	0.01224	0.00427	0.08127	0.01203	0.02407	0.04218	0.01885	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_ventriculi	0.07714	0	0	0	0	0	0	0	0	0	0.51378	0	3.89082	0.05025	0	0	0	0	0	0.10774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_OM08_24	0.07693	0	0	0	0.0076	0	0	0	0	0.00415	0.02513	0	0	0	0.02316	0	0.00931	0.42702	0.00504	0	0	0	0	0.6298	0	0.02186	0	0	0	0	0.10841	0	0	0	0.06778	0	0	0	0.00457	0	0	0	0	0.65188	0.00667	0	0	0	0.10394	0	0	0	0	0	0.07878	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_488	0.06742	0	0.10084	0	0	0.00249	0	1.02577	0.14083	0.05321	0.01293	0	0	0	0.0128	0	0.07617	1.2808	0.01722	0	0	0	0.03218	3.25154	1.28759	0.17924	0	0.0433	0.82143	0.0537	0.00675	0.02287	0.08407	0	0	0	0.60047	0	0.20823	0	0.27085	0	0	0	0.10831	0	0.02091	0.20822	0.04536	0	0	0	0	0.80776	0.23061	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis	0.05954	0.0095	0	0	0	0	0	0	0	0	0.03253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02135	0.00683	0	0	0	0	0	0	0	0.0244	0	0	0.03285	0	0	0.00553	0	0	0	0	0	0	0.41909
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0.05613	0	0	0	0	0	0	0.01272	0	0	0.15899	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.00751	0	0	0	0.00385	0	0.07454	0.04564	0	0	0.00917	0.06386	0	0	0.00891	0.08434	0	0	0.11893	0	0.02685	0	0	0.00071	0	0	0	0	0.08257
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	0.05609	0	0.01544	0.15127	0.02042	0.00655	0	0	0	0	0	0	0	0	0.02246	0.00374	0	0.00325	0	0.01025	0	0	0	0.00381	0	0	0.01358	0	0.11759	0.02075	0.08248	0.03202	0	0.0485	0.01194	0	0	0	0.01178	0	0	0	0	0.02813	0	0.04603	0	0	0.06228	0	0	0	0	0.00139	0.1172	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_279	0.05589	0.3002	1.15738	0.12587	0	0.24229	0	0	1.36393	0.15564	0	0.03332	0	0	0.00173	0.82456	0	0.10656	0.35317	0.05226	4.20383	0.09429	0.56234	0.78688	0.02424	0.33749	0.16426	0.60828	0.01973	0.18881	0.47354	0.6124	0.18838	0	0	0.04859	0.14558	0.82131	0.22527	0	0.83645	0.10512	0	0.07095	0.43296	0.51513	0	0.82732	1.39556	0.07545	0	0	0.23398	6.8055	1.51669	0.34159	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_471	0.05504	0.07636	0.00684	0.02596	0.56026	0.02358	0	0	0	0.13154	0.19227	0	0	0	0.0458	0.08418	0.06641	0.00979	0.01085	0.17848	0.0428	0	0.04878	0.11703	0.0285	0.03127	0.02935	0.09022	0.00681	0.00409	0.01266	0.04838	0.00293	0.03032	0.16167	0.43629	0.29184	0	0.00752	0.29295	0.01388	0	0.00466	0.38502	0.03422	0.04709	0.31828	0.01817	0.04419	0.00394	0.05929	0.00905	0	0	0.1321	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251	0.05352	1.33178	0.00432	3.43354	0	0	0	1.13461	0	0.00882	0	0.06455	0	0	3.15541	5.86558	0	0.56326	0	0	2.34445	1.51666	0.09744	2.4334	2.46353	0.45183	0.51599	0.10327	0	3.70778	0.10165	0	0	0	0.87056	0	0.34151	0	0.06896	0.11286	1.99912	0.0067	0.00411	0.68164	0.84667	7.19052	0.02474	15.45827	0	0	2.36304	0	0	0	0.14788	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_182	0.05321	0	0.00949	0	0	0	0	0	2.63542	0.0643	0	0	0.0233	0	0	0	3.20468	1.74218	0.17884	0.70622	0	0	0.0782	4.86259	0	0	0	0.03851	0	0	0	0.31823	0	1.29873	0.01223	0	0.48732	0.02031	0	0.00513	0	0	0	0	0	0	0	0.23234	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus	0.05248	0.07301	0	0.42794	1.15366	0.02661	0	0	0.20088	0.12696	0.02949	0	0	0.02548	0.78825	0.0723	0.08559	0.06301	0.12349	0.44962	0.61188	0.01449	0.08235	0.05538	0.08934	0.06229	0.0184	0.10843	0.49936	0.12932	0.19464	0.57912	0	0.77309	0.071	0.07217	0.1	0.01734	0.04053	0.05059	0	0	0	0	0.13755	0.01277	0	0.00208	0.29848	0.00205	0.11509	0	0	0.00239	0.02816	0	0.10767
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_sp_CAG_318	0.0485	0.03142	0.35778	0	1.76058	0.03912	0	0	0.06703	0	0.26665	0	0	0.24238	1.16898	0.14141	0	0	0.15157	0	2.0914	0	0.292	0	0.73161	0.44996	0.00534	0.49835	0.01949	0.09311	0.03188	0.3439	0.01454	0	0.00847	0	0.60536	0.147	0	0	0.03709	0	0	0	0.09051	0	0	0.02089	0	0	0.08217	0	0.02226	0.03975	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_nodatum	0.04473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_diversum	0.04444	0	0	0	0	0	0	0	0	0	0.10198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05418	0.03072	0	0	0.00607	0.00251	0	0	0.00175	0.01291	0	0	0.05365	0	0.00821	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_411	0.03663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01292	0	0	0	0	0	0	0.00066	0	0.36522	0	0	0	0.59673	0	0	0	0	0	0	0.17288	0	0	0.30928	0	0	2.05524	0.04756	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum_thomasii	0.03372	0.32454	0.92248	0.11567	0.45256	0.79321	0	0.08803	1.66455	0.58413	0.44681	0.88885	0	0.7102	0.23114	0.17197	0.50196	0.04132	0.38007	0.14076	0	0	0.42734	0.36634	0.07439	0	0.02704	0.73399	0.03644	0.04646	0.41046	0	0.0674	0	0	0	0	0	0.17219	0.0637	0.51516	0.01244	0.0164	0.05478	0.27646	0.09005	0	0	0.82781	0.05898	0.26069	0.12481	0	0.17192	0.89701	0	0.53398
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_deltae	0.02676	0	0	0.01078	0.00372	0	0	0	0	0	0	0	0.039	0	0	0	0	0	0	0.00917	0	0	0	0.01086	0	0	0	0	0	0.01805	0.01209	0.01957	0.00884	0.01189	0.04157	0.00165	0.32969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_885	0.02462	14.67442	0.49376	1.77842	0	7.30363	0	38.60959	1.83942	0.1341	3.82012	7.69144	0.04422	19.42876	0.75596	0	0.09037	0.09322	1.27865	0.43489	6.02944	0.86413	0.81059	3.999	0.83304	0.35755	0	0.47046	0	0	1.62192	0.48401	3.35241	0.01185	1.02405	11.00316	0.20717	4.57973	0.10527	0.57221	0.32087	0	0.00997	1.54661	0.3256	0	0.32285	0	0	4.04498	1.51431	4.10992	1.62719	2.03863	2.22264	27.96499	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_sanguinis	0.02184	0.04578	0	0	0	0	0.00403	0	0	0	0.04266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02818	0	0.06582	0.19998	0	0	0	0.00532	0.00296	0	0.00249	0.01588	0	0	0.0425	0	0.06892	0	0	0	0.00269	0	0	0	0.02006
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus	0.02149	0.01585	0	0	5.23605	0	0	0	0.75399	0.07682	10.01466	0	0.64884	0	4.72158	0.01142	0	1.07655	12.99938	1.33197	7.44543	0	0.19502	0	0	0	0.06783	0.32686	0.52966	0.20966	0.27986	0.51899	0.00053	0.04727	1.25143	0.01882	0.39074	0	0	0	0	0	0	0.05974	0	0	0	0.21176	0.27132	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis	0.02016	0.00518	0.03431	0.02613	0.00688	0	0	0.00589	0	0	0.0115	0.00611	0.07297	0	0	0.00164	0.02791	0.01864	0.00533	0.00527	0.00174	0.00551	0.03008	0.0114	0.00643	0	0.00635	0.05326	0.01216	0.00311	0.01616	0	0.0078	0	0.02817	0.01521	0.05371	0	0.02784	0.01784	0.01641	0	0.01236	0.0255	0.0206	0.00574	0.08147	0.0022	0.03024	0	0.01086	0	0	0.00514	0	0.00158	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Enorma_massiliensis	0.01942	0.00083	0.01933	0.0074	0.01286	0	0	0	0	0	0.01273	0.01048	0.01997	0	0	0	0	0.01792	0	0.00431	0	0.00137	0.01161	0	0.00158	0	0	0.02443	0	0	0.01103	0	0.00576	0	0.01458	0.00519	0.01998	0	0.01109	0.00771	0.01034	0	0.00513	0.01421	0.00426	0.0026	0.07202	0.00167	0.01303	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_celatum	0.01609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08526	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_scatoligenes	0.0143	0	0.05904	0.04394	0.00784	0	0	0	0	0	0.02614	0	0.0137	0	0.02002	0.00135	0	0.19329	0.00149	0.01276	0	0.00158	0.01207	0.00465	0.01784	0	0	0.0098	0	0.0038	0.02754	0	0.00287	0	0.01955	0.00054	0.02334	0	0.01676	0.02573	0.0223	0	0.00611	0.01195	0.01399	0	0.09431	0.00652	0.0281	0	0.00887	0	0	0	0.01753	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_coprostanoligenes	0.01098	0	0	0	0.06166	0.11172	0	0	0	0.43254	0	0	0	0.00706	0	0	0	0	0.00668	0	0	0	0	0	0	0	0.00499	0	0	0	0.06693	7.04332	0	0.30303	0.01103	0.23424	0.06476	3.38907	0.0905	0	0	0	0	0	0	0	0	0.00349	0	0	0	0	0	0.0766	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_lutetiensis	0.01091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14474	0	0.01156	0.06159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00417	0	0	0	0	0	0	0.00522	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16158
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_intermedia	0.01033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	0.0101	0.01572	0.00572	0.01139	0.39969	0.04022	0	0	0	0	0	0	0	0.00119	0.04629	0.3041	0.04061	0.00273	0	0.03294	0.27431	0.03457	0.20551	0.05035	0.05254	0.00611	0	0.23933	2.32843	0.01618	0.07617	0.09219	0.01586	0.05608	0.49475	0.34861	0.32093	0	0.11602	1.63363	0.05451	0	0.01223	0.30967	0.09902	0.02145	0.92013	0.0407	1.2667	0.03292	0.01975	0.01627	0	0.01461	0.01328	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38	0.00985	0.0142	0	0.05066	0.40454	0	0	0.1354	0.02308	0.03637	0	0	0	0	0	0.92095	0.05842	0	0.54337	0	0	0	0.11128	0	0.02875	0	0	0.05896	0	0.06922	0.08451	0.16379	0.94916	0.14413	0.59227	0.19296	0.08488	0.0016	0.01165	0.02584	0.129	0.01837	0.00378	0.08066	0.05329	0.36458	0.01114	0.04479	0.32029	0	0.06974	0	0	0.22	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_timidum	0.00984	0	0	0	0	0	0	0	0	0	0.00507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis	0.00914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.00662	0.02133	0.16781	0.00047	0.32491	0	0	0	0	0	0	0	0	0.93595	0	0.24883	0	0	0.00124	0.46337	0.43739	0.05603	0.06609	0.59436	0	0	0.26265	0.1058	0.71088	0.17712	0.20239	0.04257	0.01459	0.03064	0.01237	0	0.0966	0	0.29035	0	0	0.2813	0	0.03371	0	0.05507	0.00051	0.0049	0.76536	0	0	0.03673	0	0.11767	0.08149	0	0.63722
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	0.00135	0.19237	0.42189	0.03875	3.63472	0.24001	0	0.34153	0.31436	0.00316	1.4372	0	1.5695	0	0.16134	0.14088	0.88113	0.01058	0.1537	3.73155	0.64143	0.05936	0.67695	2.03016	0.18257	0.49037	0.04392	0.73604	0	0.90386	2.19989	1.64125	0.15389	0.68312	1.39547	0	0.09864	0.05209	0.14798	0	0.74102	0	0.10591	0.29022	0.34076	0.01741	0.22397	0.01145	1.69492	0	0.00533	0	0.02903	0.13825	0.85886	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_5226	0	10.1501	1.37078	5.10701	0	0.01039	0	0.07838	0	0	0.59807	0.05306	0	0	1.51429	0	0.04386	0.65559	2.23136	0.25423	1.64467	3.28632	2.99718	0.5961	0.64879	0.0012	0.45251	2.01115	0	1.95428	1.6151	0.49787	0.00849	0.02214	0.39393	1.14817	0.04664	0	0.50318	2.25406	0	0	0.0241	0	0.13542	2.56739	0.05984	0.75834	0	10.33719	0.11448	12.70914	14.08676	0.00266	0.63457	0	3.05804
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0	0.39231	0	0	0	0.01953	0	0	0	0	0	0	0	1.09108	0	0.27977	0	0.02726	0	0.0066	1.93338	0.12611	0.13256	0.51222	0.03525	0.22366	0.22748	0.14365	5.9523	0.01757	2.16589	0	0.19434	0.01613	0.20005	0.06314	0.14741	0	0.0395	0.00053	0	4.69835	0	0.02828	0	0.2366	0	0	0.5779	0	0	0.03297	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_330	0	0.32587	0.07905	0	0	0.18042	0	0.35143	0	0	0	0.24556	0	0	0	0	0	0	0	0	0	0.00964	0.07606	0	0.06224	0	0	0.16808	0	0	0	0	0	0	0	0	0	0	0	0	0.08214	0	0	0	0	0	0	0	0	0	0.63783	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_pittmaniae	0	0.1992	0	0	0	0	0	0	0	1.12151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0	0.15058	0.08564	0	0.04206	0	0	0.0038	0	0.00189	0	0	3.1273	0.0298	0	0	0	0	0.01646	0	0	0	0.27227	0	0	0	0	0.50883	0.3039	0	0	0	0	0	0	0.00204	0	0	0.17587	0	0.23154	0.17118	0	0.05242	0	0	0	0	1.55692	0	0	0	0	0.2324	0	0	0.02432
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus	0	0.13318	0.01406	0	0.22118	0	0	0	0	0	0	0	0	0.31491	0	0.06953	0	0	0	0.06701	0	0	0.07252	0	0	0.01594	0	0.12069	1.61574	0.36218	0.01577	0.02315	0	0.23158	0	0.01272	0.01672	0	0.0211	0	0	0.00616	0	0	0	0.13194	0	0.08551	0.42929	0	0	0.00575	0	0	0.04743	0.00095	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	0	0.10159	0	0.05421	0.0065	0.03009	0	0.12944	0	0.78556	0.44456	0.01553	0	0.09923	0	0.13536	0	0	0.34216	0	0	0.13045	0.08542	0	0.01184	0.14256	0.07182	0.03869	0	0	0.01067	0.14654	0.04505	0.09302	0.37881	0.49358	0.01089	0	0.00684	0.12318	0.51349	0.63432	0.03847	0	0.01508	0.08192	0.29806	0.16843	0.15621	1.05959	0.23143	0.02182	0.01912	0.03751	0.03038	0	0.19453
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	0	0.08673	0	0	0	0.01105	0.0087	0	0	0.05393	0	0.01251	0	0	0	0.02907	0	0	0.08054	0.01365	0	0.00416	0.01879	0	0	0.01961	0.01335	0.01701	0	0	0	0.0269	0.11652	0	0.36212	0.67537	0	0.00563	0.00863	0.11783	0	0.05152	0	0.13252	0	0.00203	0	0.02791	0.26659	0	0.02496	0	0	0	0	0.64658	0
