sequencing_platform	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq
DNA_extraction_kit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit
lifestyle	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Agriculturalist	Fisher	Fisher	Fisher	Fisher	Fisher	Fisher	Fisher	Fisher	Fisher	Fisher	Fisher	Fisher	Fisher	Fisher	Fisher	Fisher	Fisher	Fisher	Fisher
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens	23.52268	5.39571	3.22123	0	0	5.09873	0	13.49418	8.5559	6.61619	2.42798	2.00382	1.30971	0	2.78746	0.51989	5.26253	0.27264	3.29202	3.39712	4.06867	0.42607	4.09774	2.65311	4.42894	12.39337	4.95977	2.57174	0	0	6.77471	4.26986	1.48857	3.92466	1.69392	0	2.79648	2.29758	0.31647	0.47773	11.01651	0.03804	0.03006	2.38473	3.43489	0	0.51685	1.45697	0	3.80377	8.95248	2.1108	0.73963	3.19792	16.28373	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_791	6.51198	0	0.31014	0	0	0.17576	0	1.37375	0.18682	2.84234	0.32939	0	6.09992	0	0.84824	0	0.92281	5.28116	0.23805	0.4062	0	0.05318	0.08407	0.63052	0.55958	0	0	0.28986	0	0.16631	1.19523	0.63998	0	0.29171	0	0	0	0	5.21016	0.54512	0.88413	0	8.05867	1.10807	0.8232	0	42.35071	0.92048	2.70177	0	4.92374	0	0.03187	0.97349	6.28578	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	4.96369	38.74235	9.93644	21.5028	10.61776	40.94951	0.00587	12.07545	18.20014	21.33154	10.69678	30.74726	0.19312	23.50444	3.57295	9.68801	1.58838	2.97798	7.1843	3.36526	9.80318	53.59048	11.32362	8.6202	22.51564	40.12428	17.88767	15.1407	0.09007	16.92734	8.6552	4.71397	46.65258	4.18968	9.31279	38.42767	1.61188	44.23378	1.82363	21.2498	7.54174	54.69095	0.28281	24.95595	3.86984	44.56823	1.39453	6.42247	8.28499	52.44501	26.12768	26.58405	32.31873	30.47041	13.57139	9.61271	37.19425
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	4.43018	0.01962	1.59567	0.03451	4.41682	0	0	0	0.43899	1.19255	0.10709	0.03204	0.02317	0.80224	1.65167	1.12615	0.31449	0	0.127	0.0024	0.00515	0	1.78297	3.39747	0.10257	0	0.05212	2.48217	2.12448	0.13945	1.61221	0.64647	0	1.29764	1.17026	0.04724	0.42502	0	0	0	0.00849	0	0	0	0.29867	0	1.04667	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_510	4.34523	0.06579	0.38888	0	0.04483	0.56502	0	0	9.48108	0.33037	0.04506	0	0.06288	0	0.16472	1.71039	0.0091	0	0.12301	3.4422	0	0	0.03041	0.0106	0	0.01308	0.2495	0.05208	0.19888	2.35847	2.35609	5.90967	0	0.45943	0	0.01723	0.30796	0	0	0	4.44093	0	0	0	1.75544	0	0	0.86816	0	0	0.01439	0	0	0.32663	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_110	3.93121	0	0.74635	0.01781	0.52644	0.00133	0	3.26912	0.15571	0.60682	0.45442	0	0.24913	0.18922	0.63726	0.01838	2.14206	0.17363	0.20106	0.69609	0.72623	0	0.1254	0.34889	0.12415	0.07212	0	0.16309	1.1764	0.13559	0.16728	0.46497	0.00611	0.17824	0.29262	0	1.51757	0	0.00711	0	1.66686	0	0	0.01073	0.80128	0	0	0.09781	0.78596	0	0.10152	0	0	0.33342	0.36459	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	3.88199	6.47387	14.90167	13.84002	13.37097	13.72836	0	1.97259	12.64202	12.34418	2.45203	3.02532	0.8208	7.71568	8.85298	4.45993	13.24327	3.94125	10.38826	4.95081	17.88521	7.01342	15.27652	7.35833	15.05685	12.04211	9.60966	17.36966	15.80965	4.55778	16.34918	14.53863	2.83348	23.61777	3.09373	7.73664	23.67418	6.28839	10.40615	3.84308	24.24156	8.56834	0.29364	7.61039	34.96295	10.54224	3.5349	3.40014	5.01164	5.80223	4.60852	6.80215	1.47114	10.63557	20.75553	3.05855	0.55588
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_95	3.26557	0.01371	0.34778	0.15058	2.43342	0.27641	0	3.6144	0.05069	0.59191	0	0	1.10976	0.08372	0.28613	0.09753	0.03958	0.00117	0.02906	1.21638	0.04146	0	0.33163	0.09655	0.8717	0.21352	0.01581	0.32823	0.3029	0.12123	1.23469	1.24403	0.02659	1.07661	0.14689	0	4.30228	0.09054	0.03742	0	0.20878	0	0	0.00176	0.75079	0.02841	0.03096	0.03168	0	0	0.2613	0	0	0.17314	0.08369	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum	2.88472	0	0	0	8.08091	0	0	0.91573	0.21498	8.09163	1.27343	0.00523	0	0.09201	6.61576	0	0.09227	0.0491	0.05112	0.96518	2.61036	0.03304	1.04484	0.00163	0.95669	0.07467	0	1.44265	0.06646	1.24733	11.07168	0.27553	0	0.1369	0.03365	0	0.05421	0.17769	1.06841	0	0.26065	0	0.00531	0	0.02968	0	0.02807	0	0	0	0	0	0	0.99338	0	0	0
