	SID010101	SID010102	SID010104	SID010201	SID010202	SID010204	SID010301	SID010302	SID010304	SID010401	SID010402	SID010404	SID01A_000	SID01A_006	SID01A_220	SID01B_000	SID01B_007	SID01B_221	SID01C_235	SID01C_566	SID01D_013	SID01D_190	SID01D_570	SID01E_000	SID01E_015	SID01E_191	SID01F_239	SID01F_573	SID01G_000	SID01G_005	SID01G_234	SID01H_011	SID01H_202	SID01H_568	SID01I_012	SID01I_569	SID01J_010	SID01J_173	SID020101	SID020102	SID020104	SID020201	SID020202	SID020204	SID020301	SID020302	SID020304	SID02A_561	SID02B_552	SID02C_553	SID030101	SID030102	SID030104	SID030201	SID030202	SID030204	SID030301	SID030502	SID030504	SID030601	SID030602	SID030604	SID030701	SID030702	SID030704	SID03A_000	SID03B_000	SID03C_000	SID03D_000	SID03E_000	SID03F_000	SID03G_000	SID040101	SID040104	SID040201	SID040202	SID040203	SID040204	SID040301	SID040303	SID040304	SID04B_564	SID04C_565	SID04D_562	SID04E_563	SID05A_000	SID05B_000	SID05C_000	SID05D_000	SID060101	SID060102	SID060201	SID060202	SID060301	SID060302	SID060401	SID060402	SID060502	SID060601	SID060602	SID07A_558	SID07C_541	SID07D_542	SID07E_559	SID080101	SID080102	SID080104	SID080301	SID080302	SID080304	SID08A_000	SID08A_022	SID08A_236	SID08B_044	SID08C_021	SID08D_079	SID08D_257	SID08D_572	SID08E_000	SID08E_041	SID08E_160	SID08F_000	SID08F_040	SID08G_000	SID08G_023	SID08H_000	SID08H_008	SID08I_009	SID08I_170	SID08I_545	SID08J_078	SID08K_032	SID08K_237	SID08K_560	SID090101	SID090102	SID090201	SID09A_515	SID09B_516	SID09C_517	SID09D_518	SID09E_519	SID100201	SID100202	SID100204	SID100301	SID100302	SID100304	SID100401	SID100402	SID100404	SID140101	SID140102	SID140104	SID140201	SID140202	SID140301	SID140302	SID140304	SID190101	SID190104	SID210101	SID210102	SID210104	SID210201	SID210204	SID210301	SID210302	SID210304	SID210401	SID210402	SID210404	SID240101	SID240102	SID240104	SID240201	SID240202	SID240301	SID240302	SID240304	SID240401	SID240402	SID250101	SID250102	SID250104	SID250301	SID250501	SID250502	SID250701	SID250702	SID250704
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_624	0.42567	0.51076	0.15533	0	0	0	0.11025	0.78577	0.07411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63855	0.55085	0.14404	0	0	0	0.17512	0.76386	0.05112	0	0	0	0	0	0	0	0	0	0	0	0.10047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09551	0	0	0	0	0	0	0	0.08932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50533	0	0.0055	0	0	0	0	0	0	0	0	0	0	0.95666	0	0.00374	0	0	0	0	0.79918	0.51229	0	0.02415	0	0	0.14753	0	0	0	0	0	0.60778	0.26253	0	0.04013
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	0.40252	1.67213	0	0.16881	0.05315	0	0.05806	0.10149	0.16994	0.07942	0.11066	0	0	0	0	0	0	0	0	0.00868	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07032	0	0.08891	0	0	0	1.51423	0.03665	0.0617	0.0637	0	0.07827	0.57371	0.26378	0	11.65469	0	23.50645	0.08491	0.15509	0	0	0	0	0	0	0.4175	0.44105	0	0	0	0.31968	0	0	0	0	0.23895	0.20184	0	24.77506	17.13554	6.17899	0	0.11308	4.7388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03443	0	0	0	0	0.03888	0	0	3.28473	0	0	0.66863	0	0	0	0	0	0	0	0.03035	0	0	0	0	0	0.35837	0	0.29333	0	0	0	0	0	0	0	11.48582	0	0	0.25106	0	0	0	0	0	0	0	0.9772	0	0	3.20245	0	0.0891	1.0932	0	0	0.39404	0	0.24015	0.03774	0.20365	0.1129	0.06381	0.05249	0.17989	0.82749	0	0	0.08636	0.30896	0	0.09379	0	0.12725	0.19163	0.04322	0.83614	0	0	10.57129	0	0	0.01929	0	0.29761	0	0	0	0.36921	0	0	15.01596	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum	0.39781	0.67991	0.84801	1.94245	1.79799	0.85402	0.19159	0.5885	0.94438	0.28327	1.20968	0.57789	0	0	0.99009	0.06336	0	1.42409	1.14553	0.00925	0	0.95922	0.08328	0	0	2.21741	7.9492	0.03332	0	0	0.86407	0	0.14331	0.00569	0	0.0073	0	0	0.38237	0.63455	0.90293	1.33723	1.94554	0.78435	0.17426	0.59009	0.90069	0	0	0.07542	0	0.27847	1.34247	0.04071	0.64702	0.23753	0	0.01051	0.44302	0.02225	1.3704	0.72161	0	0.25854	0.46762	0	0	0.03692	0.01084	0	0	0	0	0	0.01088	0	0	0.02374	0.30208	0.09651	0	0	0	0.0092	0.01651	0.01062	0	0	0	0	0.38369	0.38376	0.16193	0.3862	0.1668	0	0.00125	0.11065	0.25942	0.0122	0.03023	0	0.01008	0	0.33101	0.32362	0.16768	0.33883	0.47444	1.44258	0	0	0.20344	0	0	0	0.99371	0	0	0	1.04661	0	0	0	0	0	0	0	0.44873	0	0	0	0.2697	0	0.6516	0.29899	0.46328	0.09973	0	0	0	0	0.38609	0.34727	0.19153	0.35621	0.42503	0.22096	0.51934	0.39289	0.1806	0.63145	1.27422	0.58511	0.37933	0.73305	0.02972	0.07501	1.60922	0.1117	0.3863	0.46292	0.18709	0.63409	1.07453	0.49948	0.59153	0.3772	1.04315	0.01029	0.06985	2.19998	0.11852	0.36313	0.41931	0.16789	0.02754	0	0.52576	0.46891	0	0.1942	0.13414	0.06695	0.37245	0.51365	0.39526	0.18533	0.01315	0	0.48406
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii	0.39225	0	0	0	0	0	0	0	0	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3118	0	0	0	0	0	0	0	0	0	0	0	0	0.05305	0.08752	0	0.01413	0	0	0	0	0	0	0	0	0	0.16446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08384	0	0	0	0.14437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00352	0	0	0	0	0	0	0	0.00881	0	0	0	0.05694	0	0	0	0	0	0	0	0	0.02533	0	0.06522	0	0.47595	0.00637	0	0	0	0	0	0	0	0	0.06063	0	0.63771	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_413	0.38008	0.48166	0	0.26473	0	0.85301	0	0	0.06969	0	0	0	0	0	0	3.2787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0296	0	0	0.57317	0.53763	0	0.58109	0	0.86035	0	0	0.05212	0	0	0	0.07636	0	0	0	0	0	0	0	0.23907	0	0.07925	0	0	0	0	0.05755	0	0	0	0	0	0	0.21629	0	0	0	0	0	0	0	0	0	0	0.19448	0	5.21185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14961	0.03925	0	0	0	0	0	0	1.29941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03037	0.00284	0	0	0	0	0	0	0	0	0	0	0.00629	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis	0.36589	1.33301	0.19923	1.10814	1.21941	0.21924	0.70613	0.91367	0.44752	0.2092	0.28241	0.31656	0	0	0	0	0	0	0	0	0.13707	0.67589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35173	1.27908	0.25527	1.32702	1.16987	0.31484	0.66489	0.783	0.47948	0	0	0.01448	0.61681	0.23358	0.23701	0.28676	0.45089	2.34843	0.18699	0.34388	1.2209	0.21765	1.47792	0.40006	0	0.69295	0.61028	0	0	0	0	0	0	0	0.81004	0	1.14292	0	0	1.37458	0	0.41443	0	0	0	0	0	0	0	0	0	0	0.06493	1.36099	0	0.36769	0.39944	0.2145	0.17388	0	0.54417	0.48828	0	0	0	0	1.40231	1.09991	2.02295	2.58512	1.30526	1.77546	0	0	0.09675	0	0.297	0.07302	0.29032	0	0	0	1.20256	0	0	0	0.01364	0	0.06111	0	0.05995	0	0.11706	0	0	0	0.43651	0.74936	0.48659	0.03702	0	0	0	0	1.38139	0.3277	0.49539	1.6896	1.19098	1.59565	0.15198	0.06152	0.02987	2.38706	2.13279	0.03984	0.77602	0.52598	0.17612	0.09019	4.8145	0.55181	0.26086	0.04399	0.04117	1.98553	1.68882	0.05505	0.04911	0.36117	0.48155	0.05502	0.09228	2.58238	0.50733	0.15504	0.25216	0.09804	0.0064	0	0.07791	0.06472	0	0.0951	1.73847	0.24284	0.00595	0.21081	0.25249	0.09573	0.00155	0	0.08857
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_180	0.33869	1.4435	1.43009	2.8941	1.61188	2.09044	0.52637	1.07783	1.51976	1.21802	3.98109	0.16169	0	0	0.03337	0.26711	0	1.02243	5.36711	1.00761	0	0	0	0.02078	0	2.71081	0	0.23608	0	0	0	0	0	0.39158	0	1.39554	0	0	0.54795	1.47321	1.42422	2.03929	1.73462	1.77148	0.66056	1.0376	1.35603	0.04515	3.86971	0.00793	0	1.10039	3.88672	0.20864	0.23795	2.67853	0	1.47901	2.1198	0.61823	0	1.43885	0	4.09204	0.05817	0.12972	0.13278	0.46078	0.37805	0	0	0	0.12675	0	0	0	0.50602	0	0	0.33316	0	0	1.35135	1.14225	0.03228	0.28234	0	0	0	0.37026	0	1.36806	0.57452	0.00789	0.13056	0	0.63592	0	0.06771	1.33066	0	0.1919	0.01588	0.3128	0	0	0.11806	1.66121	1.71129	0	0.05038	0	0	0	0	0	0	0.37635	0.21821	0	1.8591	0.06415	0	0	0	0	0	0	0	0.02432	0.66156	0	1.65168	0.48994	2.03679	4.21467	0.08308	0.00965	0	0.14932	0.14394	0.00623	1.42214	0.01045	0.08877	0	0	0.12606	0.00752	0.65144	0.45267	2.49138	1.52341	1.15567	0.31062	0.01057	1.1407	0	0	1.20697	0.09488	0.85342	0.35687	1.63048	1.27861	0	1.13254	0.77015	0.19515	0.49289	0	0	1.28294	1.0826	0.16611	0.06663	0	0.41279	0.04849	0	0	3.47114	0	0	0.06331	0.96962	0.15266	0.04549	0	0.37225	0.08502
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	0.31196	0.56221	0.4033	1.79235	1.14753	0.88023	0.2684	0.37958	0.37511	0.34964	1.37399	0.93402	0	0	0.44163	0.18142	0	1.13053	1.00541	0.02645	0	0.61148	0.0633	0.13452	0	0.64617	0.73315	0	0	0	0	0	0.42128	0.03359	0	0.04369	0	0	0.2947	0.58375	0.43618	1.43073	1.24379	0.96079	0.22032	0.41535	0.32383	0	0.02163	0.31031	0	0.34883	1.48583	0.03352	0.99932	0.70779	0	0.12907	0.31957	0.11896	0.58782	0.75466	0	1.73555	0.71607	0	0.00679	0.02585	0.00516	0	0	0	0	0	0	0	0.03763	0	0	0.05345	0	0	0	0.01393	0.01638	0.08124	0.07356	0	0	0	0	0.98107	0.26071	0.33354	0.0617	0	0.05279	0.16554	0.27118	0.02174	0.02708	0.00724	0	0.04285	0.44474	0.64887	0.52079	0.62968	0.33407	0.60703	0.00623	0	0.95673	0	0.09492	0	1.14409	0	0	0	2.45915	0	0	0	0	0	0	0	0.38437	0	0	0	0.2302	0	0.56879	1.742	0.696	0.46059	0.00104	0	0	0	0.91863	0.27483	0.24072	0.40253	0.7309	0.52346	0.26418	0.32353	0.38776	0.75038	0.44583	0.2942	0.52105	0.88444	0.12659	0.05193	0.73015	0.34484	0.27773	0.32252	0.41261	0.66249	0.36705	0.97526	0.26513	0.44124	0.93103	0.0456	0.07007	0.84335	0.35262	0.38304	0.51253	0.32017	0.06859	0.03548	0.15247	0.91826	0	0.45799	1.01827	0.37412	1.03724	0.41972	0.46698	0.35613	0.02608	0.05311	0.1761
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus	0.29651	0.09564	0	0.63021	0.92583	0	3.82765	0.0573	5.31192	0.47362	0.00615	0.00682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00263	0	0	0.2683	0.09218	0	0.69642	1.02414	0.03463	3.84834	0.06016	5.31404	0	0	0	0.37311	0.36946	0	0	0	0.68697	0.09522	2.04147	0.04998	0.01554	0.06269	0	0	2.24587	0.71064	0	0	0	0	0	0	0	0.52643	0.69023	0.04013	4.62863	0	0.47729	0	0.22062	5.72291	0	0	0	0	0	0	0	0	0	0	16.49274	0.43745	1.4272	0	0.4336	0.00893	0.17412	0.69525	2.08077	0	0	0	0	2.65506	3.7163	0	1.03712	0.03129	0.03506	0	0	0.41643	0	0	0	0.2648	0	0	0	1.74629	0	0	0	0	0	0	0	1.35747	0	0	0	2.95107	0	0	2.36737	0.75481	0	0	0	0	0	15.22512	1.11209	0.71286	3.1944	3.97257	0	0.35296	0.72136	0.4696	0	0.35755	0	0.12395	0.17872	0	0.00606	1.65031	1.53486	1.27111	0.92339	0.52538	0	0.73355	0	0	0.07657	0.47384	0	0.00523	0.93139	1.47725	0	0	0	0	0.04324	0	0	0	0.28262	0	0	2.23865	0	0	0.00377	0	0.03422	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica	0.27931	0.49268	0.18566	0	0	0	0	0	0	0.35955	0	0.09184	0	0	0	0.0734	0	0	0	0	0	0	0	0	0	0	0	0	0.01846	0	0.13353	0	0	0	0	0	0	0	0.15634	0.37038	0.17627	0	0	0	0	0	0	0	0	0	0	0.37808	0	0	0.07892	0	0	0	0.01955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00986	0	0.0397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11079	0	0	0	0.02219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00961	0	0	0	0	0	0	0	0	0.1203	0	0	0.03322	0	0	0.09388	0	0	0.13307	0.07614	0	0	0	0	0.02166	0	0	0.22538	0	0	0	0.05284	0.06415	0	0	0.02743	0	0	0.00614	0.02461	0.19985	0	0.01352	0	0	0.04684	0	0.11866	0	0	0.01235	0.00999	0.27375	0	0.03602
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium	0.26143	0.06682	0	0.02021	0	0	0.02882	0.04196	0	0.00252	3.58696	0	0	0	0	0	0	0.05673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25716	0.45218	0.02823	0	0.05607	0	0	0.07078	0.05541	0	0	0	0	0	0	3.78359	0	0	0.81773	0	0	0	0	0.11112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1296	0	0	0	0	0	0	0.05675	0	0	0	0	0	0.01756	0	0.60793	0.81881	0	0.09914	0	0	0	0	0	0	0.04301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0665	0	0.06274	0.04016	0	0.52215	0	0	0	0.03452	0	0	0.35542	0	1.63568	0.07273	0	0.01787	0.01202	0	0	0.02674	0	0	0.0346	0.20397	0.02758	0.67474	0.0529	0	0.018	0	0.47639	0.07032	0	0	0	0	0	0	0.04649	0	0	0	0.4726	0.04336	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_CAG_241	0.24223	0.77294	0.15689	0.10254	0.20188	0.17512	0.18514	0.32531	0.96322	0	0.06759	0.16176	0.01924	0	0	0.8473	0	0	0.09971	3.55538	0	0	0.63967	1.82223	0	1.73732	0	0.00581	1.21895	0	0	0	19.95481	0.17325	1.7671	2.34569	0	0	0.42368	0.6589	0.1944	0.14559	0.19787	0.29025	0.25262	0.29426	1.00517	0.47227	2.11111	0.16341	4.71748	0	0.0673	0.08138	0.20569	0.15795	0.54469	0.11714	0.29817	0.02702	0.2093	0.43123	0	2.20527	0	0.41019	0.32345	1.80772	2.89677	0.9238	0.72925	0	4.13944	0.01069	0	0	0.00201	0	0	0.23465	0	4.60716	0.43287	1.18542	1.47715	1.22747	2.30449	4.87758	0.1061	0	0	0.08643	0.08683	0.73855	0.10679	1.09844	0.09072	0.81491	0	0.09485	0.85449	3.02186	0	0.15335	0.1338	1.20171	0.03543	0.092	0.25785	0.28715	0.31468	9e-04	2.08308	0	0	0.69878	5.18114	1.95133	1.67073	0.01274	1.15367	3.89875	3.27377	1.39911	0	0.36313	0	0	0.27382	0.50571	0	0.01736	0.05078	2.75633	0.34844	2.09026	0.02369	0.23452	3.86047	0.6217	1.32473	1.11392	0.09071	0.7232	0	0.12384	1.03742	0.07958	0.00852	0.37031	0.01226	0	0	0.01093	0.14407	0.27011	0.04696	0.38877	0	0.04952	0.00679	0.50944	0.00244	0	0	0.01961	0.0287	0.05488	0.13532	0.01904	0.47222	0	0.03477	0.00594	0	0.0123	0	0.04137	0	0.00874	0	0.40464	0	0	0	0.02515	0	0.01203	0	0.01373	0.01264
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens	0.20523	0.25897	0.34453	0.94633	0.65452	0.43226	0.26261	0.27961	0.96474	0.09082	0.04039	0.95156	0.32303	0	0	1.83515	0	0	0	0.74333	0	0.17851	0.51103	0.39407	0	0.0227	0	0.34434	0	0	0	0	0	0.34059	0	3.12747	0	0	0.25378	0.22326	0.39652	1.12607	0.59213	0.54311	0.32421	0.27656	0.99328	0.25847	1.44011	0.0712	1.5991	0.06179	0.04929	1.94465	0.84621	1.55115	0.656	0.18634	0.85876	1.21018	1.54534	1.28886	0.02133	0.44235	0.52147	0.20238	0.27373	0.58223	0.27074	0.54481	0.21388	0.16366	1.75492	0.01	0.6402	0	2.56902	0.82587	0.85698	3.24201	0	0.03031	0.05035	4.0736	0.01578	1.82349	0.27037	0	0.12747	2.85512	2.3088	1.0253	1.29804	1.05278	2.16991	1.21761	1.62648	1.84333	0.22771	0.11477	0.48824	0.75619	0.36635	0.40207	0.80061	1.7656	0.86661	1.30752	0.87793	1.51582	0.2268	0	0.12846	0	0	0	0.25255	3.7129	0.53756	0	0.19436	0.31001	0	0.58162	0	0.11822	0	1.94627	0.02456	0.25695	0.00221	0.23738	0.57006	1.49148	0.88746	0.36764	0.54052	0.13786	0.0605	0.05651	4.08631	0	1.11011	1.09756	0.17215	0.76219	1.76147	1.02031	0.94811	0.41707	0.53164	0.5435	0.21228	1.06157	1.49826	1.6875	0.09309	0.01592	0.27	0.24999	0.6798	0.41044	0.52207	0.62886	0.21734	0.63147	1.10623	1.58555	1.27451	0.04384	0.03975	0.37686	0.25243	0.30894	0.59892	0.247	0	0.02862	0.10146	0.61237	0	0	1.22584	0.20235	1.0177	0.43742	0.62433	0.29163	0	0.01933	0.14602
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_110	0.18337	0.38189	0	0.02026	0.03813	0.03124	0.0292	0.04058	0	0	0.05152	0	0.18945	0	0	0.02449	0	0	0	0.00731	0	0	0.03043	0.18398	0	0	0	0.0355	0.00284	0	0	0	0	0	0	0.10846	0	0	0.33256	0.33487	0.0141	0.04211	0.03845	0.05427	0.0196	0.04252	0.01973	0	1.3551	0.02072	0.03572	0	0.03284	0.02372	0	0.00268	0	0	0	0	0	0.09421	0	0.0143	0	0.04895	0.15468	0.0321	0.07389	0	0	0	0	0	0	0	0.01769	0	0	0.01699	0	0.36254	0.34141	0.52664	0.23221	0.05241	0.11749	0.01248	0	0	0	0.02235	0.03072	0	0.05666	0	0	0	0	0	0.04014	0	0.02732	0	0	0	0.00884	0	0	0	0.16102	0.00308	0.08004	0	0	0	0.08506	0.08206	0.13605	0	0.30061	0.04547	0	0	0	0	0	0	0.02766	0.00759	0	0	0	1.27525	0.11544	0	0	0.01515	0.56676	0.39433	0.50113	0.25864	0.05231	0	0	0	0	0.00985	0	0.00875	0	0	0	0	0.00478	0.25662	0	0.06428	0	0	0.00388	0.01813	0	0	0.00154	0.00472	0.03021	0.04451	0.4274	0	0.06781	0	0	0	0	0.05331	0.10466	0	0	0.0039	0	0.62222	0	0	0	0	0	0.01625	0.06162	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola	0.18157	0.67998	0.03029	0	0.07801	0	0	0.08195	0.0429	0.0125	0.03424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03114	0	0	0.02764	0.26639	0	0	0.05964	0	0.0358	0.06429	0	0	3.83966	0.04921	7.13413	0.01264	0.06434	0	0	0	0	0	0	0.42158	0.08439	0	0	0	0	0	0	0	0	0.06756	0.03777	0	5.26961	1.77253	1.99531	0	0	3.90559	0	0	0	0	0	0.11723	0.02993	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29986	0	0	0	0	0.02773	0	0	0.58949	0	0	0.09889	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20597	0	0	0	0	0.0085	0	0	0	0	3.23325	0	0	0	0	0	0	0	0	0	0	0.19799	0	0	0.8346	0	0.04179	0.15936	0	0	0	0	0.05396	0	0.03634	0	0	0	0.01682	0.30707	0	0	0	0.04293	0	0.02968	0	0.02479	0.0229	0.01777	0.20196	0	0	1.65634	0	0	0.06659	0	0.21634	0	0	0.04325	0.13186	0	0	2.70222	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	0.17546	0.55058	0.25595	0.35851	0.30254	0.70698	0.3578	0.57645	0.30759	0.04224	0.21594	0.197	0	0	0.16592	0.15905	0	0	0.5315	0.01365	0	0.02	0.03117	0.00454	0	0.00991	0	0.01257	0	0	0	0	0.00963	7e-04	0	0.07852	0	0	0.24956	0.52866	0.24716	0.3211	0.34066	0.61595	0.3739	0.4387	0.32965	0.09212	0.37024	0.06215	0	0.04415	0.21143	0	0.20024	0.6938	0	0	0.44818	0.05159	0.40164	0.95313	0	0.84393	0.18705	0	0.04569	0.0777	0.05799	0	0	0	0	0	0	0	0.20007	0	0	0.05832	0	0.01899	0	0.07247	0.03259	0.09971	0	0	0	0.15118	0	0.36544	0.61606	0.10689	0.00375	0	0.01567	0.20629	0.07632	0	0.00232	0	0	0	0.15781	0.30576	0.57687	0.59605	0.5162	0.38333	0.04115	0	0.19338	0	0	0	0.13364	0	0	0	0.377	0	0	0	0	0	0	0	1.12919	0	0	0	0.14846	0	0.90214	0.82162	0.17555	0.06519	0	0	0	0	0.38646	0.13684	0.07186	0.20388	0.33941	0.5085	0.48099	0.2106	0.29436	0.01418	0.00783	0.24542	0.11531	0.22948	0.02278	0.04925	0.12495	0.14194	0.3796	0.2231	0.26774	0.1106	0.04263	0.21282	0.27896	0.23481	0.35282	0.00505	0.08385	0.06157	0.14271	0.11389	0.30931	0.23249	0.11814	0.04694	0.19686	0.17778	0	0.46362	0.57889	0.2391	1.05137	0.19576	0.28711	0.21838	0.02616	0.06038	0.29904
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	0.16853	0.0298	0.04645	0	0	0	0	0	0	0.15094	0.1252	0.08301	0	0	0	0.06326	0	0	0	0	0	0	0	0	0	0	0	0	0.02035	0	0.06463	0	0	0	0	0	0	0	0.12081	0.04295	0.15916	0	0	0	0	0	0	0	0	0	0	0.16212	0.09685	0	0.04769	0	0	0	0	0	0	0	0	0	0.03814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00807	0	0.02766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03047	0	0	0	0.05996	0	0	0	0	0	0	0	0	0.1025	0	0	0	0	0	0.01453	0	0	0.05962	0	0.01664	0	0	0.1284	0	0	0	0.11897	0	0	0	0.05576	0.04222	0.00916	0.00732	0	0.08627	0.01423	0.68396	0	4.18602	0.08924	0	0	0	0	0	0	0	0	0.66481	0	6.56404	0.08691	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_279	0.16597	0.33311	0.40757	0.60281	1.20456	2.98459	0	0	0	0.0377	0.39286	0.12101	0	0	0	1.61023	0	0	0	0	0	0.22755	0.03301	0.15186	0	0	0	0	0	0	0	0	0	0.00493	0	0.94778	0	0	0.12409	0.29073	0.43933	0.94283	1.3314	2.59551	0	0	0	0	0.04646	0	0.05042	0.02218	0.37954	1.36256	0.06312	0	0	0	0	0	0.49829	0.31717	0.14969	0.25273	0.30131	0.64079	1.3489	0.0194	0	5.70134	0	0	0.04527	0	0	0	0	0	0	0	0	1.21323	0	0.08893	0.02026	2.59213	0.05592	0	0.01382	0	0	0.68488	0.00265	0	1.64896	0	0	0	0	0	0.01044	0	0	0	0.28871	0.42891	0.06269	0	0	0.3288	0.74518	0	0	0	0	0	0	0.73617	0.09788	0	0.01703	0	0	2.13893	0	0	0	0	0	0	0	0	0	0	0.33934	0.28082	0.3164	0	0.50189	0.01704	0	0	0.71184	0	0.02122	0.44297	0.43535	0.02844	0.02815	0	0	0	0	0	1.96798	0.10196	0	0.12116	0	0.02642	0.18962	0	0	0	0	0.02932	0.02416	0.94415	0.04261	0	0.20521	0	0.01946	0	0.57995	0.55943	0.15142	0.02178	0.06914	0.01837	0	0.30041	0	0	0	0	0.64757	0.5497	0.04273	0.0309	0.08698
