	SAM_01	SAM_02	SAM_03	SAM_04	SAM_05	SAM_06	SAM_07	SAM_08	SAM_10	SAM_11	SAM_12	SAM_13	SAM_14	SAM_15	SAM_16	SAM_17	SAM_18	SAM_19	SAM_20	SAM_21	SAM_22	SAM_23	SAM_24	SAM_25	SAM_26	SAM_27	SAM_28	SAM_29	SAM_30	SAM_31	SAM_32	SAM_33	SAM_34	SAM_35	SAM_36	SAM_37	SAM_38	SAM_39	SAM_40
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus_group	0.51464	0	0	0.01361	0	0	0	0.00129	0	0.01051	0	0	0	0	0	0	0	0	0.17315	0.00029	0	0	0	0	0	0	0.00121	0	0.09816	0	0.0032	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_58	0.49978	0.04837	0.16262	0.02242	0.0346	0.39115	0	0	0.04573	0.11321	0	0.03563	0.33114	0.12713	0	0.01393	0.11499	0.09504	0	0.03477	0	0.40156	0.01313	0.00496	0.04662	0	0.07968	0.0653	0.32904	0.11371	0.03888	0	0.04732	0.06377	0.50567	0	0.0116	0.15609	0.00388
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii	0.46445	0.04135	0	0	0	0	0	0	0	0.06182	0	0	0	0	0.01678	0	0	0	0.09605	0	0	0	0	0	0	0.01048	0	0	0.02705	0	0.00546	0	0	0	0.00054	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes	0.46002	0.45518	2.60973	0.07998	0.21391	0.05041	0	0	0.09858	0.1067	0	0	0	0	0	0.28778	0	0.31412	0.28051	1.61374	0.91563	0	0.12278	0	0	0	0.10041	0.07751	0	0.0697	1.55152	0	0.06309	0	0	0	0.40437	0	1.32653
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum	0.38393	5.98081	0	0.10833	0	0	0	0	0	0	0	0.08082	0.03178	1.77262	0	0.28613	0	0.62441	0	0	0	0	0.04156	3.50132	0	0	5.0468	3.84258	0.07993	2.19076	0.15178	6.99239	0	0.06001	0	0	1.34467	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	0.33454	0.41416	0	0.24174	1.56756	0	0	0	0.26688	0	0	0.2704	0.85722	0	0.07914	0.59868	0	0.47003	3.30924	0.55679	0.6922	0.1824	0.58205	0	0.97747	0	0.55716	0.45716	0.01139	0.00261	1.04743	0	0.00742	0.40369	0	0.10233	1.12738	0.58733	0.42192
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_synergistica	0.32713	0	0	0	0	0.10285	0	0	0.04598	0	0	0	0	0	0.02986	0.32047	0.00049	0	0	0	0	0	0	0	0	0	0.05255	0.03934	0.01825	0.0848	0	0	0	0.02937	0	0	1.86947	0.12053	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_spiroforme	0.29574	0	0.29411	0.15113	0.02038	0	0.019	0.04517	0	0	0.04762	0.01343	0.01283	0.17975	0	0.00139	0	0.03638	0.32898	0.00446	0	0.05494	0.02813	0.01236	0.00104	0.00207	0.01923	0.01017	0.01028	0.09402	0	0	0.00942	0.17319	0.12394	0.03233	0.01251	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis	0.2871	0.00336	0	0.06253	0	0	0	0.00071	0	0.00049	0	0	0	0	0.00305	0	0	0	0.00056	0	0	0	0	0	0	0	0	0	0.0074	0	0	0	0	0	0.00645	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	0.27769	0.04186	0	0.00529	0	0	0	0	0	0	0.03708	0.16233	0.00456	0.00632	0	0	0	0.00112	0.00519	0	0	0	0	0	0.01716	4.04671	0.3309	0.27983	0	0	0	0.00875	0	0	0	0.00047	0	0	0.01101
