	SAM_01	SAM_02	SAM_03	SAM_04	SAM_05	SAM_06	SAM_07	SAM_08	SAM_10	SAM_11	SAM_12	SAM_13	SAM_14	SAM_15	SAM_16	SAM_17	SAM_18	SAM_19	SAM_20	SAM_21	SAM_22	SAM_23	SAM_24	SAM_25	SAM_26	SAM_27	SAM_28	SAM_29	SAM_30	SAM_31	SAM_32	SAM_33	SAM_34	SAM_35	SAM_36	SAM_37	SAM_38	SAM_39	SAM_40
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_citroniae	0.01376	0	0.00377	0.01708	0.00071	0.02154	0	0	0.00085	0.00059	0.05019	0.00753	0.00992	0.00538	0.01896	0	0	9e-04	0.02401	0.00604	0.00517	0.0102	0	0	0.00096	0.02429	0	0	0.04994	0	0	0	0.00014	0.00338	0.00714	0.00926	0	0.00183	0.01235
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_A12	0.01278	0	0	0	0	0	0	0.00188	0	0	0	0	0	0	0.02223	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00329	0	0	0.00033	0	0	0.00377	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_rimae	0.01199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_parvum	0.01187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00465	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis	0.01053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183	0.01052	0	0	0	0	0	0	0	0	0.0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00488	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_infantium	0.01023	0.02369	0	0	0	0	0.00086	0	0	0	0.01738	0	0.00959	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02484	0.01881	0	0	0	0.00167	0	0	0	0	0	0	0.00462
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	0.00995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	0.00877	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10481	0	0	0	0	0	0	0.01728	0	0	0	0	0.31655	0.23878	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens	0.00838	0	0	0.01785	0	0.06509	0	0	0.0031	0.3502	0.11154	0	0.5309	0.14367	1.12851	0.01993	0.00275	0.07608	0	0.0933	0.0529	0	0.01811	0.28661	0.00699	0	0.03205	0.52947	0	0	0.15313	0.27041	0.00531	0.53897	0	0	0.00827	0.02343	0.0013
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An250	0.0079	0	0	0	5e-04	0	0	0.02746	0	0	0	0	0	0.00824	0.0429	0.0021	0	0	0	0	0.00289	0.00258	0.00206	0	0	0	0.00287	0	0	0	0	0	0.00288	0.06457	0	0.08475	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis	0.00745	0	0.02052	0	0	0	0	0	0	0.0027	0	0	0	0.00309	0.00877	0	0	0.03715	0	0	0.00446	0.00572	0.00146	0.00176	0.00911	0	0	0	0.11867	0	0	0	0	0	0.03354	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans	0.00665	0	0	0.01385	0.00472	0	0	0	0	0.28887	0	0	0	0	0.14166	0	0	0	1.03174	0	0	0.00208	0	0	0	0	0.10208	0.07186	0.00601	0	0.01123	0	0	0	0.00015	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis	0.00463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_haemolysans	0.00409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01017	0	0	0	0	0	0	0	0	0	0.00202	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus	0.00405	0	0	0	0	0	0	0	0	0.00475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_pectinoschiza	0.00405	0.26294	0.06961	0	1.80293	0	0	0	2.51335	0	0.15452	0	0.53141	3.14001	0	0	0	0.78923	0.00113	1.2633	0.16225	0	0.69151	0	0	0	1.1782	0.89046	0.13651	0	0	4.34301	0.01272	0	0	0.12317	2.18992	0.10303	1.55448
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Tyzzerella|s__Tyzzerella_nexilis	0.00323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58709	0	0	0	0	0	0	0.01653	0	0	0	0	0.00026	0	0	0	0	0.02386	0	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_gracilis	0.0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00076	0	0	0	0	0	0	0	0	0	0.1859	0.00752	0.0054	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0.00253	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00174	0	0	0	0.00045	0	0	0	0	0.00124	0	0.01289	0	0	0	0	0	0	0	0	0.00388	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_F0442	0.00235	0.01271	0	0	0	0	0	0	0	0	0	0	0	0	0.03454	0	0	0	0.00087	0	0	0	0	0	0	0	0	0	0.00227	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_167	0.00214	2.28697	0	0	0	0	0	0.01982	0	0	0	0.05096	0	0	0	0	0	0.08119	0	0	0.24302	0	0.81405	0	0	0	0.26959	0.19151	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acidifaciens	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_HMSC071D03	0.0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_caecimuris	0.00176	0	0.00048	0.00087	0.00321	0	0	0	0	0.01209	0	0	0	0	0	0	0	0	0	0.00026	0.00084	0	0	0	0.00184	0	0	0	0.01486	0	0.00111	0	0	0.00096	0.00032	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_sp_T11011_6	0.00138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00242	9e-04	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi	0.00127	0	0.00493	0	0.00352	0.14255	0	0.00062	0	0	0.05189	0.00643	0	0.00976	0	0	0	0	0	0.00304	0.01154	0.00931	0	0	0	0.18813	0	0	0.84007	0.01173	0	0.01215	0	0.00037	0.01597	0.0046	0	0	0.00088
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae|g__Cardiobacterium|s__Cardiobacterium_hominis	0.00117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica	0.00114	0.0305	0	0	0	0	0	0	0	0	1.12243	0	0.02565	0.00252	0	0	0	0	0	0	0	0	0	0	0	0.0047	0.03341	0.01292	0.03382	0	0	0	0	0	0	0	0	0	0.01083
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_CAG_257	0.00109	0	0.31223	0.00538	0.00069	2.38566	0.29873	0	0	0.0708	0.58066	0.01766	0.00395	0.09783	0	0.00474	0.00479	0	1.60485	1.3104	0.00129	1.92102	0	3.10424	0.0565	0.98714	0.00191	0.08153	0.71277	0.00893	0.02642	0.21564	0.02416	0.05426	0.0115	0.00289	0.01704	0.00656	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_sinus	0.00099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00225	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii	0.00029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	0	5.90473	0	0	0	0	39.87992	0	0.00183	0	0	0	0	0	0.8748	0.62884	8.08301	0	0.62169	0	0	0	0	0.14599	0	0	0	0	0	12.9489	0	0	0	0	0	0	0	0.49782	2.24451
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	0	4.47218	0	0	0	0	0	0	0	0	0	0	0	0	1.44305	0	0	0	0	0	0	0	2.90689	0	0	0	1.68776	1.33883	3.09126	0.51583	0	2.94491	0	3.90496	0	0	3.19098	3.01933	1.73959
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	0	2.10193	0	1.23144	0	0	0	0	0.22818	0	0	0	0	5.01834	0	0	0	1.78046	0	0	0.76257	0	2.31654	0	2.50523	0	0	0.01868	0	1.2107	0	2.37459	1.75226	6.72683	0.01737	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_sp_CAG_318	0	1.85353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	0	1.3795	0.41299	0.44981	0	0	0.0155	0	0.47391	1.5226	0	0	0.00027	0	0.22476	0.44053	0.10729	0.57024	0	1.14328	0.38514	0	0	0.46382	0	0	0.40006	0.35623	0.01022	0.07855	0.02221	0.53086	0.02748	0.13967	0	0.00519	0.24407	0.29266	0.73821
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	0	1.28307	0.94628	0.28617	0	5.99107	0	5.31669	0.18323	4.09779	0	0	0.67027	0	2.09261	0	0	0.06084	0	1.90921	0.25419	8.95878	1.24937	0	0	0	0.0014	0	7.52222	2.96269	3.59083	0	0	0	0	0	14.48633	0.56879	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_sp_CAG_528	0	1.17336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris	0	0.94264	3.63913	0	0.47248	0	0	0	0	1.71568	0	0	0	0	0	0.48282	0	0.07655	0	0	0	0	0	0	0.27162	0	0	0	0	0	0.99394	0	0.06335	0.64566	0	0	0.21515	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_110	0	0.62588	0	0	0	0	0	0	0.00091	0	0	0	0	0	0	0	0	0.22076	0	0	0	0	30.87449	0	0	0	0.18239	0.13513	0	0	0	0	0.07644	0	0	0	0.03922	0.47795	0.00837
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0	0.58281	15.17669	0	9.95165	8.75942	0.00181	0	29.76873	0	41.87822	0.00252	24.05667	4.11856	0	0.00054	8.39169	5.49133	0.9692	1.58174	0.00077	9e-04	0	0.00205	0	0.00106	0.45148	6.20664	6.32282	0.31483	0	0	0.11426	10.05901	3.05745	52.83132	0.00138	6.78027	0.00384
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila	0	0.55238	1.20554	0	0	0	1.85774	0	0	0	0	0	0	0	0.18985	0.49052	0	2.54512	0	0	0	0	0	0	0	0	0	0	0	2.24004	0	0	0	0	0	1.28709	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_182	0	0.31018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00536	0	0.02663	0	0	0.04057	0.02097	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis	0	0.30379	0	0.02917	0.58071	0.14508	0	0	0.68142	0	4.87295	0.05586	0	0.69897	0	0	1.61333	0.06087	0	1.163	0	2.07081	0.14943	1.69796	1.40128	0	0.02404	0.017	0.03354	0.05556	0	0	0.04521	0.01944	0	0	0	0.29924	0.54659
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens	0	0.25131	0	0.00985	0.29241	0	0.18589	0.10867	0.07482	0	0	0	0	0.18888	0	0.27328	0	0.12599	0.0982	0.10564	0.30595	0	0.12637	0.01683	0.35107	0	0.0851	0.0585	0	0	0.20186	0	0.04616	0	0	0	0.04049	0.40236	0.1554
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	0	0.21283	0.41842	0	0	0.02763	0	0	0.03051	0	0	0	0	0	0	0	0	0.04116	0	0	0.0034	0	0.03733	0	0	0	0.07992	0.05982	0	0	0	0	0	0	0	0.00434	0	0.1654	0.06682
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05	0	0.19755	0	0	0	0	0	0.00339	0.00112	0	0	0	0.00704	0.00379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0	0.18367	0.03306	0.04741	0.76949	0	0.08795	0.01739	0.03351	0.37252	0	0.39473	0.19436	2.15515	0.09461	0.00384	0.04405	1.23266	8.66017	0.32009	0.34093	0.12403	0.06377	0	0.30879	0	0.03612	0.01421	0	0.10995	0.09325	0	0.28067	0.17699	0.00455	0	0	0.0019	0.01763
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_CAG_241	0	0.16611	0	0	0	0	0	0	0.00136	0	0	0	0	0	0	0.20338	0	0	0	0	0.00209	0	2.70318	0	0	0	0.16255	0.11228	0	0	0.00766	0	0.15633	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_formicilis	0	0.15747	0	0.0158	0.07479	0	0.00367	0	0.10172	0	0	0	0	0	0	0.25484	0	0.05768	0.01595	0.00869	0.01708	0.00819	0.29144	0	0.00616	0	0.06655	0.05191	0	0	0.25688	0	0.05485	0	0.02554	0.00148	0.00637	0.02177	0.00579
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter|s__Oxalobacter_formigenes	0	0.11869	0	0.02607	0	0.0222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02541	0.01802	0	0	0	0	0.00926	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_isoflavoniconvertens	0	0.1064	0	0	0	0	0	0.17697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01729	0.01334	0	0	0	0	0	0	0.05971	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_242	0	0.10486	0	0.35889	0	0	0	0.23852	0.01859	0	0	0	0	0.37616	0.33885	0	0	0	0	0	0	0	0	0	0.05655	0	0	0	0	0	0	0	0	0.1067	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	0	0.10296	0.13517	0	0	0	0	0	0.07984	0.99205	0	0	0	0	0	0	0	0	0	0	0	0	0.03513	0	0	0	0.00471	0.00714	0.38021	0.11381	0	0	0.05218	0	0	0	0.05658	0.69598	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas|s__Turicimonas_muris	0	0.07829	0	0	0.04001	0.06265	0.53685	0	0.00055	0	0.02342	0.05411	0	0.02202	0	0	0.05295	0	0	0.02651	0	0.0119	0.02701	0.01893	0.00604	0	0.00043	0	9e-04	0.035	0	0	0	0	0	0	0	0	0.0113
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rogosae	0	0.04696	0	0	0.00148	0	0	0	0.09661	0	0	0	0	0.04817	0	0	0	0.00423	0	0.02763	0.01006	0	0.0276	0	0	0	0.0118	0.00929	0	0	0	0	0	0	0	0	0.0167	0.02449	0.02673
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0	0.0357	0.351	0.13279	2.24939	0	0	0.095	0.18946	0	2.95482	0.68339	2.15763	1.02532	0.06297	0.19339	0.4159	0.17046	0	0.19761	0.2114	0.00316	0	0.40725	0	0	0.27413	0.2358	0.24391	0	0.73635	0	0.00441	0	0.01327	0.86444	0.03751	0.74036	0.22642
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus|s__Cloacibacillus_porcorum	0	0.02525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0391	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella_histaminiformans	0	0.01955	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified|s__Proteobacteria_bacterium_CAG_139	0	0.01069	0	0	0.04825	2.48074	0	0	0.03401	0	0.32177	0.92438	0	1.28135	0	0	0.11619	0.00338	0	2.35201	0	0.13926	0.19153	0.11692	0.11083	0	0.01931	0.00977	0.06636	0.90431	0	0	0.00259	0	0.01412	0	0	0.01952	0.06551
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Harryflintia|s__Harryflintia_acetispora	0	0.00558	0	0	0	0.03123	0	0	0.00031	0.00258	0	0.00198	0	0.00106	0.01797	0	0	0	0	0.00369	0.00346	0.01403	0.00246	0	0	0	0.00286	0	0.21087	0	0.01232	0	0	0.03279	0	0	0	0.02189	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis	0	0.00449	0.00216	0	0	0	0	0	0	0	0	0	0	0.00128	0	0	0	0	0.00689	0.00274	0	0	0.00063	0	0.00262	0	0	0	0.07848	0	0	0	0	0	0	0	0	0	0.00144
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_831b	0	0.00386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_PC13	0	0.00371	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00589	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.00192
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_sp_An100	0	0.00155	0	0	0	0	0	0	0.00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00439	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83	0	0.00145	0	1.06338	0.01217	0	0	0	0.14059	0	0	0	0	0	0	0.08098	0	0	0	0.0806	0.55193	0	0.00948	1.04281	0	0	0.3284	0.24007	0.03391	0.01372	0.23298	0	0.01712	0.6864	8.01942	0	0.13605	0.10367	0.02026
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara	0	0.00038	0.10747	0	0	0	0.2119	0	0	0	0	0	0	0	0	0.0603	0	0.16337	0	0	0	0	0	0	0	0	0	0	0	0.23705	0	0	0	0	0	0.02456	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	0	0	3.22761	11.0049	0	0.00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0768	0	0	0	0.51445	0.38402	0	0	0	0	26.37442	0	0	0.00017	0	0	0.00079
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Monoglobus|s__Monoglobus_pectinilyticus	0	0	1.53304	0.13162	0.08852	0	0	0	0	0	0	0.16533	1.35505	0.31883	0	0	0	0	0	0.38489	0	0.10259	0	0.03939	0	0	0	0	0.80466	0	0	0	0.0013	0.34033	0.01983	0	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_424	0	0	1.23618	0	0.01296	0	0	0	0	0.0012	0.0022	0.00072	0	0.02177	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02516	0	0.00569	0.07562	0.46607	0	0.00615	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_sp_CAG_933	0	0	0.93636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hansenii	0	0	0.51069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16192	0	0	0	5.82857	0	0	0.00049	0	0	0.00048	0	0	0	0.00455	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_sp	0	0	0.34952	0	0	0	0	0	0.53254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30379	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis	0	0	0.26864	1.11277	0	0	0	0	2.06854	0	0	0	0	0	0.80996	0	0	0	0	0	0	0	0	2.03493	0	0	0	0	0	0	0	0	11.18895	0	0	0	0.62984	0	0
